Year,Week,Unique id,State,Area,Disease,No of cases,No of deaths,Date of start,Date of reporting
2025,1,MH/AMR/2025/01/15,Maharashtra,Amravati,Diarrheal,20,0,29-12-2024,30-12-2024
2025,1,MH/RIG/2025/01/16,Maharashtra,Raigad,Diarrheal,62,0,29-12-2024,30-12-2024
2025,1,MH/STR/2025/01/17,Maharashtra,Satara,Chikungunya,17,0,01-01-2025,01-01-2025
2025,2,MH/RAI/2025/02/25,Maharashtra,Raigad,Leptospirosis,15,1,31-12-2024,06-01-2025
2025,3,MH/AMR/2025/03/79,Maharashtra,Amravati,Fever,133,0,12-01-2025,13-01-2025
2025,3,MH/BLD/2025/03/80,Maharashtra,Buldhana,Diarrheal,12,1,14-01-2025,14-01-2025
2025,4,MH/JAL/2025/04/145,Maharashtra,Jalgaon,Measles,17,0,13-01-2025,13-01-2025
2025,5,MH/PNE/2025/05/171,Maharashtra,Pune,Fever,20,0,28-01-2025,29-01-2025
2025,5,MH/SNG/2025/05/172,Maharashtra,Sangli,Fever,34,0,28-01-2025,29-01-2025
2025,6,MH/AMR/2025/06/222,Maharashtra,Amravati,Gastroenterit,16,0,03-02-2025,04-02-2025
2025,6,MH/KOL/2025/06/223,Maharashtra,Kolhapur,Food Poisoning,651,0,05-02-2025,05-02-2025
2025,6,MH/THN/2025/06/224,Maharashtra,Thane,Chikungunya,15,0,01-02-2025,06-02-2025
2025,7,MH/AKL/2025/07/265,Maharashtra,Akola,Typhoid,30,0,14-02-2025,14-02-2025
2025,7,MH/AMR/2025/07/266,Maharashtra,Amravati,Fever,10,1,12-02-2025,14-02-2025
2025,7,MH/AUR/2025/07/267,Maharashtra,Aurangabad,Fever,18,2,08-02-2025,10-02-2025
2025,7,MH/BND/2025/07/268,Maharashtra,Bhandara,Diarrheal,21,0,08-02-2025,10-02-2025
2025,7,MH/LAT/2025/07/269,Maharashtra,Latur,Measles,27,0,10-02-2025,10-02-2025
2025,7,MH/NGP/2025/07/270,Maharashtra,Nagpur,Diarrheal,51,0,07-02-2025,10-02-2025
2025,7,MH/NAN/2025/07/271,Maharashtra,Nanded,Food Poisoning,77,0,08-02-2025,10-02-2025
2025,7,MH/WRD/2025/07/272,Maharashtra,Wardha,Food Poisoning,29,0,10-02-2025,11-02-2025
2025,8,MH/KOL/2025/08/329,Maharashtra,Kolhapur ,Hepatitis,25,0,19-02-2025,19-02-2025
2025,8,MH/SAN/2025/08/330,Maharashtra,Sangli,Food Poisoning,12,0,18-02-2025,20-02-2025
2025,9,MH/JAL/2025/09/386,Maharashtra,Jalgaon,Jaundice,12,0,26-02-2025,01-03-2025
2025,9,MH/KLP/2025/09/387,Maharashtra,Kolhapur,Food Poisoning,24,0,01-03-2025,01-03-2025
2025,9,MH/PLG/2025/09/388,Maharashtra,Palaghar,Diarrheal,23,0,01-03-2025,02-03-2025
2025,9,MH/SNG/2025/09/389,Maharashtra,Sangli ,Hepatitis,34,0,25-02-2025,25-02-2025
2025,9,MH/SNG/2025/09/390,Maharashtra,Sangli,Fever,67,0,24-02-2025,25-02-2025
2025,10,MH/LAT/2025/10/431,Maharashtra,Latur,Chickenpox,22,0,07-03-2025,07-03-2025
2025,10,MH/NAG/2025/10/432,Maharashtra,Nagpur,Diarrheal,109,0,27-02-2025,03-03-2025
2025,10,MH/NAG/2025/10/433,Maharashtra,Nagpur,Diarrheal,61,0,02-03-2025,03-03-2025
2025,10,MH/WAS/2025/10/434,Maharashtra,Washim,Chikungunya,7,0,07-03-2025,07-03-2025
2025,11,MH/BHN/2025/11/481,Maharashtra,Bhandara,Diarrheal,24,0,12-03-2025,12-03-2025
2025,11,MH/BHN/2025/11/482,Maharashtra,Bhandara,Fever,13,0,10-03-2025,10-03-2025
2025,11,MH/JAL/2025/11/483,Maharashtra,Jalgaon,Measles,3,0,10-03-2025,13-03-2025
2025,12,MH/KOL/2025/12/528,Maharashtra,Kolhapur,Hepatitis,15,1,17-03-2025,17-03-2025
2025,15,MH/AMR/2025/15/643,Maharashtra,Amravati,Diarrheal,11,0,07-04-2025,08-04-2025
2025,15,MH/DHR/2025/15/644,Maharashtra,Dharashiv,Chikungunya,11,0,07-04-2025,08-04-2025
2025,15,MH/GON/2025/15/645,Maharashtra,Gondia,Food Poisoning,60,0,05-04-2025,07-04-2025
2025,16,MH/DHR/2025/16/690,Maharashtra,Dharashiv,Food Poisoning,122,0,17-04-2025,17-04-2025
2025,16,MH/MBS/2025/16/691,Maharashtra,Mumbai,Fever,17,0,15-04-2025,17-04-2025
2025,16,MH/NAN/2025/16/692,Maharashtra,Nanded,Food Poisoning,52,0,17-04-2025,18-04-2025
2025,17,MH/BHA/2025/17/723,Maharashtra,Bhandara,Food Poisoning,28,0,21-04-2025,19-04-2025
2025,18,MH/CHH/2025/18/768,Maharashtra,Chhatrapati,Food Poisoning,255,1,26-04-2025,28-04-2025
2025,18,MH/KOL/2025/18/769,Maharashtra,Kolhapur,Food Poisoning,22,0,02-05-2025,02-05-2025
2025,19,MH/BEE/2025/19/808,Maharashtra,Beed,Food Poisoning,206,0,08-05-2025,09-05-2025
2025,19,MH/RAI/2025/19/809,Maharashtra,Raigad,Food Poisoning,52,0,05-05-2025,06-05-2025
2025,20,MH/SAT/2025/20/855,Maharashtra,Satara,Dengue,20,0,14-05-2025,14-05-2025
2025,20,MH/SAT/2025/20/856,Maharashtra,Satara,Dengue,13,0,12-05-2025,13-05-2025
